Fpeak,Fsoft,Fhard,Dflare,Hratio,flare_class,source
-4.0,-4.029228,-3.840697,7320.0,1.369354,X,NASA_DONKI
-4.283997,-4.342424,-3.991377,840.0,2.237021,M,NASA_DONKI
-4.455932,-4.578112,-4.38893,1320.0,1.68506,M,NASA_DONKI
-5.0,-5.127343,-4.924576,2040.0,1.587782,M,NASA_DONKI
-4.455932,-4.451546,-4.504854,1020.0,0.911871,M,NASA_DONKI
-4.920819,-4.994842,-4.87105,1020.0,1.29987,M,NASA_DONKI
-4.886057,-5.176988,-4.844464,1920.0,2.307574,M,NASA_DONKI
-5.0,-5.128789,-4.838933,2340.0,1.840568,M,NASA_DONKI
-4.148742,-4.333416,-4.167797,1140.0,1.524809,M,NASA_DONKI
-4.657577,-4.851159,-4.503651,1860.0,2.432926,M,NASA_DONKI
-4.236572,-4.375615,-4.153351,1080.0,1.829918,M,NASA_DONKI
-5.0,-5.317411,-5.08478,300.0,1.789721,M,NASA_DONKI
-4.823909,-5.05182,-4.900241,780.0,1.361335,M,NASA_DONKI
-4.823909,-5.079641,-4.78452,1140.0,1.909595,M,NASA_DONKI
-4.920819,-5.129472,-4.632958,900.0,3.284216,M,NASA_DONKI
-4.619789,-4.806244,-4.344217,1740.0,2.858262,M,NASA_DONKI
-4.958607,-5.156271,-4.70642,720.0,2.600682,M,NASA_DONKI
-4.29243,-4.370482,-4.116438,1740.0,1.842335,M,NASA_DONKI
-4.49485,-4.629388,-4.255711,1320.0,2.593697,M,NASA_DONKI
-5.346787,-5.568564,-5.236014,1500.0,2.215129,C,NASA_DONKI
-4.744727,-4.907248,-4.713705,660.0,1.557882,M,NASA_DONKI
-5.21467,-5.321462,-5.094544,960.0,1.782381,C,NASA_DONKI
-4.69897,-4.92019,-4.593072,3600.0,2.168547,M,NASA_DONKI
-4.823909,-4.932778,-4.841562,1260.0,1.190891,M,NASA_DONKI
-4.853872,-4.819968,-4.950958,2100.0,0.788635,M,NASA_DONKI
-4.49485,-4.409318,-4.238652,1260.0,1.580846,M,NASA_DONKI
-5.69897,-5.776228,-5.598428,1020.0,1.519125,C,NASA_DONKI
-4.677781,-4.86717,-4.691341,1620.0,1.509682,M,NASA_DONKI
-5.568636,-5.591245,-5.338581,960.0,1.854598,C,NASA_DONKI
-4.275724,-4.403968,-4.19139,1020.0,1.650802,M,NASA_DONKI
-4.113509,-4.429162,-4.032758,1800.0,2.63575,M,NASA_DONKI
-4.119186,-4.293935,-4.099068,1740.0,1.563473,M,NASA_DONKI
-4.619789,-4.731088,-4.677368,1320.0,1.071578,M,NASA_DONKI
-4.886057,-5.013743,-4.720769,1680.0,2.037414,M,NASA_DONKI
-5.017729,-5.117672,-4.870322,4080.0,1.754217,C,NASA_DONKI
-4.585027,-4.713148,-4.38883,1680.0,2.169827,M,NASA_DONKI
-4.958607,-5.178268,-5.123199,900.0,1.220822,M,NASA_DONKI
-4.823909,-4.949382,-4.842355,1260.0,1.239626,M,NASA_DONKI
-4.79588,-5.105468,-4.657688,4080.0,2.732423,M,NASA_DONKI
-4.853872,-4.957879,-4.491091,540.0,2.856974,M,NASA_DONKI
-5.013228,-5.182467,-4.970612,1440.0,1.686473,C,NASA_DONKI
-4.886057,-5.196313,-4.581117,780.0,3.991918,M,NASA_DONKI
-5.443697,-5.580372,-5.547194,780.0,0.923163,C,NASA_DONKI
-4.677781,-4.782419,-4.480706,900.0,2.083802,M,NASA_DONKI
-4.677781,-4.892237,-4.60671,960.0,1.915134,M,NASA_DONKI
-5.0,-5.262495,-4.812208,2940.0,3.102079,M,NASA_DONKI
-5.69897,-5.849446,-5.608062,660.0,1.764963,C,NASA_DONKI
-4.744727,-4.970321,-4.733066,1140.0,1.449016,M,NASA_DONKI
-4.769551,-4.917078,-4.769501,1200.0,1.359662,M,NASA_DONKI
-5.0,-5.227773,-5.019485,1200.0,1.5617,M,NASA_DONKI
-5.080922,-5.232,-4.797748,1620.0,2.764844,C,NASA_DONKI
-4.958607,-5.116916,-4.709492,1620.0,2.613728,M,NASA_DONKI
-4.920819,-5.044167,-4.835462,720.0,1.563059,M,NASA_DONKI
-4.823909,-4.86221,-4.830258,1500.0,1.179697,M,NASA_DONKI
-4.468521,-4.566504,-4.29711,1680.0,1.975646,M,NASA_DONKI
-4.69897,-4.903039,-4.558984,360.0,2.317889,M,NASA_DONKI
-4.958607,-5.013191,-4.966004,780.0,1.089751,M,NASA_DONKI
-4.958607,-5.143429,-4.805092,600.0,2.238729,M,NASA_DONKI
-4.200659,-4.222752,-3.956206,1080.0,1.873042,M,NASA_DONKI
-4.677781,-4.834983,-4.604276,900.0,1.684321,M,NASA_DONKI
-4.356547,-4.523485,-4.264025,3180.0,1.785255,M,NASA_DONKI
-5.0,-5.021813,-5.069933,2220.0,0.921714,M,NASA_DONKI
-4.958607,-5.036538,-5.097107,1620.0,0.800647,M,NASA_DONKI
-4.958607,-5.078259,-4.906894,1440.0,1.450777,M,NASA_DONKI
-5.431798,-5.395848,-5.405392,720.0,0.930516,C,NASA_DONKI
-4.30103,-4.507977,-4.152505,780.0,2.414618,M,NASA_DONKI
-4.721246,-4.896347,-4.627138,780.0,1.829318,M,NASA_DONKI
-4.39794,-4.607141,-4.306151,960.0,1.85651,M,NASA_DONKI
-3.346787,-3.5247,-3.150164,4140.0,2.536226,X,NASA_DONKI
-4.853872,-4.898732,-4.514113,960.0,2.445919,M,NASA_DONKI
-4.568636,-4.692205,-4.636526,1500.0,1.159103,M,NASA_DONKI
-4.431798,-4.691606,-4.396076,600.0,1.810211,M,NASA_DONKI
-4.886057,-4.909584,-4.732805,3060.0,1.504784,M,NASA_DONKI
-5.05061,-5.262164,-4.889378,1200.0,2.640599,C,NASA_DONKI
-4.853872,-5.073746,-4.977173,4980.0,1.21414,M,NASA_DONKI
-4.657577,-4.823118,-4.626873,1140.0,1.487533,M,NASA_DONKI
-4.823909,-4.931129,-4.799416,780.0,1.443603,M,NASA_DONKI
-4.677781,-4.75453,-4.638438,1440.0,1.29099,M,NASA_DONKI
-4.958607,-5.131939,-4.907397,660.0,1.686648,M,NASA_DONKI
-5.0,-5.101529,-4.89632,1080.0,1.585868,M,NASA_DONKI
-4.823909,-5.000178,-4.768654,1560.0,1.683395,M,NASA_DONKI
-4.721246,-5.085383,-4.565383,1980.0,3.342789,M,NASA_DONKI
-4.356547,-4.372,-4.232876,3240.0,1.351278,M,NASA_DONKI
-4.318759,-4.327436,-4.229204,1500.0,1.264969,M,NASA_DONKI
-4.49485,-4.577985,-4.500719,1500.0,1.152301,M,NASA_DONKI
-4.823909,-4.906804,-4.794492,1980.0,1.232688,M,NASA_DONKI
-4.958607,-5.203515,-4.866672,4020.0,2.178616,M,NASA_DONKI
-4.017729,-4.048638,-3.798052,1200.0,1.623506,M,NASA_DONKI
-5.721246,-5.917411,-5.691917,900.0,1.831465,C,NASA_DONKI
-5.420216,-5.638318,-5.163622,1140.0,2.951528,C,NASA_DONKI
-4.568636,-4.780387,-4.545878,1740.0,1.654026,M,NASA_DONKI
-4.886057,-5.041571,-4.729308,1020.0,2.079876,M,NASA_DONKI
-5.0,-5.060917,-4.962235,660.0,1.258195,M,NASA_DONKI
-4.769551,-4.976549,-4.655095,1560.0,2.060611,M,NASA_DONKI
-4.853872,-4.941489,-4.703857,1740.0,1.709466,M,NASA_DONKI
-5.619789,-5.758354,-5.649936,540.0,1.251582,C,NASA_DONKI
-4.022276,-3.837506,-3.794281,2100.0,1.098783,M,NASA_DONKI
-4.823909,-4.882534,-4.841018,1200.0,1.036661,M,NASA_DONKI
-4.958607,-5.241818,-4.94343,1500.0,1.94403,M,NASA_DONKI
-5.207608,-5.306026,-4.988987,4560.0,2.062231,C,NASA_DONKI
-4.29243,-4.495477,-4.175735,600.0,2.098824,M,NASA_DONKI
-4.619789,-4.799667,-4.617138,1620.0,1.40667,M,NASA_DONKI
-4.958607,-5.210907,-4.973013,1200.0,1.835872,M,NASA_DONKI
-4.142668,-4.294847,-4.04378,2700.0,1.754172,M,NASA_DONKI
-4.619789,-4.710413,-4.709945,1200.0,0.942189,M,NASA_DONKI
-4.60206,-4.627501,-4.783093,900.0,0.686747,M,NASA_DONKI
-4.283997,-4.501749,-4.149834,4020.0,2.135448,M,NASA_DONKI
-5.0,-5.045876,-4.94319,780.0,1.316016,M,NASA_DONKI
-4.721246,-4.884653,-4.690183,1920.0,1.540333,M,NASA_DONKI
-4.958607,-5.020321,-5.015149,1560.0,1.02592,M,NASA_DONKI
-5.045757,-5.216155,-4.937581,5880.0,1.820752,C,NASA_DONKI
-4.130768,-4.232131,-4.25972,1560.0,0.855832,M,NASA_DONKI
-4.958607,-5.065651,-4.800385,1920.0,1.791096,M,NASA_DONKI
-4.920819,-5.136363,-4.824412,420.0,2.037928,M,NASA_DONKI
-4.408935,-4.553565,-4.515463,840.0,1.143919,M,NASA_DONKI
-4.823909,-4.952983,-4.742529,420.0,1.54871,M,NASA_DONKI
-4.420216,-4.570141,-4.314036,1200.0,1.781911,M,NASA_DONKI
-4.823909,-5.056657,-4.819194,1020.0,1.695156,M,NASA_DONKI
-4.431798,-4.509915,-4.246923,1260.0,1.854206,M,NASA_DONKI
-4.79588,-4.89209,-4.740188,3540.0,1.269646,M,NASA_DONKI
-4.744727,-4.885419,-4.59387,1620.0,2.011911,M,NASA_DONKI
-4.958607,-4.971182,-5.002637,1020.0,0.976163,M,NASA_DONKI
-4.853872,-4.997148,-5.014486,1320.0,0.988261,M,NASA_DONKI
-4.853872,-5.199241,-4.693012,720.0,3.212314,M,NASA_DONKI
-5.0,-5.108,-4.932612,1140.0,1.365624,M,NASA_DONKI
-4.958607,-5.075906,-5.053002,2580.0,1.030459,M,NASA_DONKI
-5.0,-5.124552,-4.801924,180.0,1.967708,M,NASA_DONKI
-5.0,-5.203619,-4.774878,720.0,2.430675,M,NASA_DONKI
-5.0,-5.224943,-5.029566,960.0,1.547158,M,NASA_DONKI
-4.387216,-4.451692,-4.499424,2280.0,0.87092,M,NASA_DONKI
-4.161151,-4.326712,-4.065835,660.0,1.78158,M,NASA_DONKI
-5.0,-5.162336,-4.758655,840.0,2.839471,M,NASA_DONKI
-5.408935,-5.563816,-5.398593,2220.0,1.575188,C,NASA_DONKI
-4.823909,-5.011763,-4.801694,480.0,1.779741,M,NASA_DONKI
-3.744727,-3.788929,-3.660485,1320.0,1.409415,X,NASA_DONKI
-4.49485,-4.638106,-4.5254,1980.0,1.25031,M,NASA_DONKI
-4.79588,-4.900054,-4.656763,1200.0,1.762788,M,NASA_DONKI
-4.677781,-4.815816,-4.723727,1860.0,1.185352,M,NASA_DONKI
-4.920819,-5.201173,-4.836279,1080.0,2.183412,M,NASA_DONKI
-5.055517,-5.177796,-4.910198,1560.0,1.990597,C,NASA_DONKI
-4.823909,-4.897799,-4.603366,2220.0,1.897673,M,NASA_DONKI
-4.200659,-4.346435,-4.223624,1860.0,1.170495,M,NASA_DONKI
-5.0,-5.104126,-4.774874,1920.0,2.164102,M,NASA_DONKI
-4.920819,-4.944073,-4.746469,600.0,1.488817,M,NASA_DONKI
-3.920819,-4.072614,-3.838589,1320.0,1.689692,X,NASA_DONKI
-4.537602,-4.652767,-4.504753,1680.0,1.380817,M,NASA_DONKI
-4.958607,-5.072845,-4.931515,4560.0,1.424519,M,NASA_DONKI
-4.958607,-5.207487,-4.839597,780.0,2.137302,M,NASA_DONKI
-4.920819,-5.176044,-4.740018,2760.0,2.691654,M,NASA_DONKI
-4.958607,-5.09819,-4.877886,1320.0,1.719165,M,NASA_DONKI
-5.045757,-5.287566,-5.134332,300.0,1.301195,C,NASA_DONKI
-4.823909,-4.835408,-4.909634,2580.0,0.843668,M,NASA_DONKI
-4.920819,-4.941362,-4.800478,4860.0,1.426677,M,NASA_DONKI
-4.886057,-5.083961,-4.799367,900.0,1.936327,M,NASA_DONKI
-4.346787,-4.635837,-4.313142,1680.0,2.069322,M,NASA_DONKI
-5.420216,-5.489629,-5.277111,720.0,1.690572,C,NASA_DONKI
-4.79588,-4.801179,-4.604061,600.0,1.638015,M,NASA_DONKI
-4.677781,-4.876489,-4.5099,11880.0,2.375079,M,NASA_DONKI
-4.79588,-5.031751,-4.554148,900.0,2.914162,M,NASA_DONKI
-3.481486,-3.557865,-3.433575,2340.0,1.350468,X,NASA_DONKI
-4.958607,-5.274098,-4.867359,480.0,2.607387,M,NASA_DONKI
-4.958607,-5.113028,-4.783734,1440.0,2.106088,M,NASA_DONKI
-4.744727,-4.91223,-4.630568,1140.0,1.932971,M,NASA_DONKI
-5.013228,-5.178819,-4.757987,6300.0,2.529905,C,NASA_DONKI
-4.79588,-4.978993,-4.814648,840.0,1.416729,M,NASA_DONKI
-5.443697,-5.532995,-5.441026,1320.0,1.225969,C,NASA_DONKI
-5.173925,-5.286079,-5.446033,1260.0,0.702013,C,NASA_DONKI
-4.585027,-4.817117,-4.607773,4560.0,1.721905,M,NASA_DONKI
-4.920819,-5.079444,-4.808861,780.0,1.768575,M,NASA_DONKI
-4.568636,-4.535867,-4.391846,540.0,1.406926,M,NASA_DONKI
-4.677781,-4.871979,-4.733089,1560.0,1.362275,M,NASA_DONKI
-5.0,-5.304969,-4.8438,1800.0,2.498339,M,NASA_DONKI
-5.0,-5.038917,-4.767037,1020.0,1.883378,M,NASA_DONKI
-4.69897,-4.751123,-4.342012,3780.0,2.498386,M,NASA_DONKI
-4.744727,-4.764158,-4.529714,2760.0,1.636282,M,NASA_DONKI
-4.619789,-4.723547,-4.491819,2820.0,1.839704,M,NASA_DONKI
-4.958607,-4.948457,-4.942043,720.0,1.035005,M,NASA_DONKI
-5.318759,-5.298516,-5.178295,3000.0,1.306268,C,NASA_DONKI
-4.823909,-4.873726,-5.010438,420.0,0.748232,M,NASA_DONKI
-4.744727,-4.911482,-4.653336,6720.0,1.707677,M,NASA_DONKI
-5.075721,-5.130617,-4.934902,1920.0,1.648432,C,NASA_DONKI
-4.040959,-4.191683,-3.938657,1680.0,1.71473,M,NASA_DONKI
-4.823909,-5.042603,-4.725016,2940.0,2.111787,M,NASA_DONKI
-4.886057,-4.971057,-4.784628,960.0,1.532599,M,NASA_DONKI
-4.853872,-5.159521,-4.659026,1680.0,3.387763,M,NASA_DONKI
-4.958607,-5.004106,-4.943664,720.0,1.186056,M,NASA_DONKI
-5.0,-5.266382,-5.025098,3360.0,1.627431,M,NASA_DONKI
-4.508638,-4.600522,-4.330757,4020.0,1.815009,M,NASA_DONKI
-4.568636,-4.774509,-4.283612,660.0,2.919602,M,NASA_DONKI
-4.79588,-4.958116,-4.768474,480.0,1.618373,M,NASA_DONKI
-4.49485,-4.683387,-4.598313,780.0,1.086038,M,NASA_DONKI
-5.008774,-5.088628,-4.856114,1080.0,1.845354,C,NASA_DONKI
-4.79588,-5.019572,-4.715503,1980.0,2.222077,M,NASA_DONKI
-4.79588,-5.003171,-4.795795,1620.0,1.589233,M,NASA_DONKI
-5.0,-5.252183,-4.834925,660.0,2.795285,M,NASA_DONKI
-4.376751,-4.481217,-4.150453,1860.0,2.177911,M,NASA_DONKI
-4.79588,-5.0127,-4.661265,780.0,2.170246,M,NASA_DONKI
-5.0,-5.107653,-4.954944,1200.0,1.34583,M,NASA_DONKI
-4.920819,-4.990662,-4.759664,2220.0,1.637265,M,NASA_DONKI
-4.886057,-5.20247,-4.776729,1200.0,2.658058,M,NASA_DONKI
-4.958607,-5.131385,-4.949126,2520.0,1.493992,M,NASA_DONKI
-4.585027,-4.682154,-4.485027,2280.0,1.380571,M,NASA_DONKI
-5.0,-5.172003,-4.771512,1320.0,2.524139,M,NASA_DONKI
-5.0,-5.243265,-4.732064,300.0,3.557789,M,NASA_DONKI
-4.886057,-5.130379,-4.676487,660.0,2.817923,M,NASA_DONKI
-5.309804,-5.380337,-5.32254,1140.0,1.098395,C,NASA_DONKI
-4.79588,-5.03539,-4.837301,2040.0,1.61557,M,NASA_DONKI
-4.853872,-4.84763,-4.781873,1140.0,1.133827,M,NASA_DONKI
-4.508638,-4.600931,-4.476608,1020.0,1.176142,M,NASA_DONKI
-4.920819,-5.053595,-4.824006,2280.0,1.666256,M,NASA_DONKI
-4.823909,-5.010938,-4.694134,1260.0,2.118612,M,NASA_DONKI
-5.086186,-5.2274,-4.903421,6720.0,2.204471,C,NASA_DONKI
-5.508638,-5.650272,-5.42854,2100.0,1.590652,C,NASA_DONKI
-4.585027,-4.751144,-4.631438,1740.0,1.327867,M,NASA_DONKI
-4.468521,-4.685975,-4.569322,1080.0,1.379556,M,NASA_DONKI
-4.886057,-4.993169,-4.88103,1380.0,1.254489,M,NASA_DONKI
-5.508638,-5.678165,-5.27326,1680.0,2.426796,C,NASA_DONKI
-3.886057,-4.261561,-3.630472,1500.0,4.594717,X,NASA_DONKI
-4.376751,-4.577131,-4.284392,1260.0,2.107759,M,NASA_DONKI
-5.920819,-6.0526,-5.753441,3420.0,2.027826,C,NASA_DONKI
-3.920819,-4.131994,-3.831664,960.0,1.906043,X,NASA_DONKI
-4.958607,-5.201626,-4.773143,900.0,2.599704,M,NASA_DONKI
-4.853872,-4.951769,-4.808545,1440.0,1.256782,M,NASA_DONKI
-5.481486,-5.728051,-5.368317,1020.0,2.287162,C,NASA_DONKI
-4.657577,-4.884622,-4.554358,480.0,2.26179,M,NASA_DONKI
-4.853872,-4.949202,-4.534819,900.0,2.671491,M,NASA_DONKI
-4.69897,-4.976008,-4.550958,2400.0,2.739952,M,NASA_DONKI
-5.0,-5.189682,-4.810701,660.0,2.326474,M,NASA_DONKI
-4.920819,-5.083516,-5.052994,540.0,1.080259,M,NASA_DONKI
-4.721246,-4.782326,-4.748273,780.0,1.076371,M,NASA_DONKI
-4.721246,-4.899309,-4.611414,840.0,1.992697,M,NASA_DONKI
-4.79588,-5.144865,-4.889032,3840.0,1.833255,M,NASA_DONKI
-4.376751,-4.371062,-4.121266,300.0,1.744861,M,NASA_DONKI
-4.958607,-5.049295,-5.007755,1320.0,1.053317,M,NASA_DONKI
-4.086186,-4.274355,-3.806896,4560.0,2.830285,M,NASA_DONKI
-4.79588,-5.039555,-4.656467,1440.0,2.239265,M,NASA_DONKI
-5.0,-5.104966,-4.973542,2580.0,1.408121,M,NASA_DONKI
-4.853872,-5.169425,-4.761436,1500.0,2.715477,M,NASA_DONKI
-4.638272,-4.860357,-4.619752,1140.0,1.785421,M,NASA_DONKI
-4.79588,-5.038415,-4.469058,3780.0,3.744619,M,NASA_DONKI
-4.408935,-4.567664,-4.368243,6480.0,1.539216,M,NASA_DONKI
-3.886057,-4.070735,-3.639363,1200.0,2.693004,X,NASA_DONKI
-4.585027,-4.6878,-4.450764,1140.0,1.783901,M,NASA_DONKI
-5.79588,-5.946577,-5.665002,3480.0,1.958884,C,NASA_DONKI
-5.013228,-5.068395,-4.840369,1800.0,1.656473,C,NASA_DONKI
-5.60206,-5.894231,-5.652355,2040.0,1.721568,C,NASA_DONKI
-4.823909,-4.967201,-4.8268,840.0,1.311606,M,NASA_DONKI
-4.744727,-4.761965,-4.689074,1380.0,1.160661,M,NASA_DONKI
-4.886057,-5.060699,-4.80576,1980.0,1.668716,M,NASA_DONKI
-4.05061,-4.142732,-3.98411,900.0,1.523406,M,NASA_DONKI
-5.0,-5.089032,-4.860074,1080.0,1.691863,M,NASA_DONKI
-4.552842,-4.7134,-4.456826,660.0,1.921209,M,NASA_DONKI
-3.958607,-4.112193,-3.867533,660.0,1.808176,X,NASA_DONKI
-5.0,-5.183631,-4.895122,1560.0,2.10911,M,NASA_DONKI
-4.958607,-5.140506,-4.84888,720.0,2.124918,M,NASA_DONKI
-5.040959,-5.127332,-4.817291,5040.0,2.12378,C,NASA_DONKI
-4.886057,-5.136588,-4.867276,3240.0,1.844187,M,NASA_DONKI
-4.05061,-4.103041,-3.932377,600.0,1.478792,M,NASA_DONKI
-4.853872,-4.945526,-4.799185,1560.0,1.413161,M,NASA_DONKI
-4.769551,-4.916589,-4.549331,720.0,2.226411,M,NASA_DONKI
-4.69897,-4.898662,-4.642154,960.0,1.794714,M,NASA_DONKI
-4.823909,-5.080652,-4.768475,600.0,2.092134,M,NASA_DONKI
-5.30103,-5.450086,-5.119794,1080.0,2.187863,C,NASA_DONKI
-5.229148,-5.320185,-4.791937,1560.0,3.358053,C,NASA_DONKI
-4.136677,-4.291693,-3.975276,900.0,2.051223,M,NASA_DONKI
-4.327902,-4.341763,-4.218592,1020.0,1.239832,M,NASA_DONKI
-4.619789,-4.752078,-4.608468,1740.0,1.498685,M,NASA_DONKI
-4.79588,-4.887591,-4.662,1080.0,1.663935,M,NASA_DONKI
-4.638272,-4.825114,-4.62177,1620.0,1.706889,M,NASA_DONKI
-4.823909,-4.945922,-4.948369,1200.0,1.032137,M,NASA_DONKI
-4.619789,-4.742053,-4.619237,1560.0,1.374651,M,NASA_DONKI
-5.60206,-5.725543,-5.676649,420.0,1.009717,C,NASA_DONKI
-4.823909,-5.118632,-4.846679,1500.0,1.7528,M,NASA_DONKI
-4.60206,-4.7345,-4.434162,2940.0,1.880741,M,NASA_DONKI
-4.619789,-4.816444,-4.480791,1320.0,2.217785,M,NASA_DONKI
-4.508638,-4.748697,-4.237681,3540.0,3.266874,M,NASA_DONKI
-4.920819,-5.126643,-4.630212,960.0,3.335362,M,NASA_DONKI
-4.853872,-4.828092,-4.757455,1800.0,1.089496,M,NASA_DONKI
-4.958607,-5.308323,-4.804193,1320.0,3.455937,M,NASA_DONKI
-4.455932,-4.6281,-4.434262,3600.0,1.561804,M,NASA_DONKI
-4.60206,-4.864372,-4.482094,2400.0,2.520691,M,NASA_DONKI
-4.958607,-5.138932,-4.71268,2040.0,2.639172,M,NASA_DONKI
-4.958607,-5.171184,-4.788112,780.0,2.303444,M,NASA_DONKI
-4.69897,-4.778145,-4.722575,840.0,1.051147,M,NASA_DONKI
-5.431798,-5.636401,-5.502346,2400.0,1.382122,C,NASA_DONKI
-4.275724,-4.374076,-4.088189,1800.0,2.087458,M,NASA_DONKI
-5.187087,-5.369901,-5.029394,2220.0,2.188252,C,NASA_DONKI
-4.886057,-5.012509,-4.746554,2040.0,1.887829,M,NASA_DONKI
-4.568636,-4.879366,-4.2421,1440.0,4.143356,M,NASA_DONKI
-5.638272,-5.924952,-5.528186,2280.0,2.668237,C,NASA_DONKI
-4.619789,-4.730755,-4.411738,3300.0,2.177343,M,NASA_DONKI
-4.958607,-5.093095,-4.962302,2700.0,1.335117,M,NASA_DONKI
-4.920819,-5.094108,-4.727881,2100.0,2.40816,M,NASA_DONKI
-5.0,-5.298716,-5.044838,2820.0,1.673715,M,NASA_DONKI
-4.49485,-4.621666,-4.386171,1860.0,1.708858,M,NASA_DONKI
-4.886057,-5.053989,-4.572409,1620.0,3.134545,M,NASA_DONKI
-4.537602,-4.621636,-4.333451,900.0,1.960776,M,NASA_DONKI
-3.29243,-3.358744,-3.181157,1680.0,1.385064,X,NASA_DONKI
-4.79588,-5.073299,-4.738581,1500.0,2.12489,M,NASA_DONKI
-4.420216,-4.422342,-4.422432,720.0,1.064627,M,NASA_DONKI
-4.823909,-4.993441,-4.767559,660.0,1.634398,M,NASA_DONKI
-5.0,-5.097183,-4.938248,1260.0,1.571757,M,NASA_DONKI
-4.60206,-4.793502,-4.422877,1440.0,2.354618,M,NASA_DONKI
-4.744727,-4.961411,-4.450836,1020.0,3.501393,M,NASA_DONKI
-4.920819,-4.980096,-4.756476,720.0,1.709223,M,NASA_DONKI
-4.522879,-4.710151,-4.3493,1320.0,2.320887,M,NASA_DONKI
-4.823909,-5.176973,-4.830098,360.0,2.188439,M,NASA_DONKI
-4.091515,-4.352268,-4.165892,1200.0,1.505369,M,NASA_DONKI
-5.0,-5.124689,-5.005683,960.0,1.270365,M,NASA_DONKI
-4.677781,-4.826004,-4.615801,840.0,1.559827,M,NASA_DONKI
-5.0,-5.01952,-4.724702,720.0,1.871739,M,NASA_DONKI
-4.920819,-5.000257,-4.928036,600.0,1.182414,M,NASA_DONKI
-5.0,-5.260115,-4.733285,1680.0,3.516083,M,NASA_DONKI
-4.29243,-4.500853,-4.016416,1260.0,3.181111,M,NASA_DONKI
-4.853872,-4.953681,-4.821248,1980.0,1.378776,M,NASA_DONKI
-4.769551,-4.92273,-4.938739,1500.0,1.00182,M,NASA_DONKI
-4.958607,-4.98942,-4.904021,2460.0,1.287451,M,NASA_DONKI
-5.19894,-5.35344,-5.86393,1260.0,0.216277,C,NOAA_GOES
-5.387216,-5.511307,-5.046957,720.0,2.600986,C,NASA_DONKI
-4.443697,-4.672934,-4.439408,1320.0,1.621773,M,NASA_DONKI
