Sf,VCME,Bz,Vsw,Kp,Lat,Lcable,risk_score,risk_category
1,587.1,-1.52,533.1,3.9,27.45,1925.7,0.2771,Low
1,516.1,4.47,589.6,6.61,32.97,341.2,0.388,Medium
1,378.2,0.54,663.2,0.58,-34.04,315.3,0.1187,Low
2,504.0,-11.62,783.0,4.89,-12.95,1163.8,0.4482,Medium
1,450.1,-3.7,608.8,2.47,56.97,422.4,0.2535,Low
1,256.4,0.45,640.8,7.25,10.91,499.8,0.331,Medium
2,477.4,-17.9,448.9,2.06,-4.76,1077.2,0.3101,Low
1,971.5,-9.85,556.4,1.38,33.49,1395.6,0.2566,Low
1,1613.3,1.8,563.9,2.84,15.14,2329.1,0.3173,Low
1,345.0,-6.56,658.9,6.49,43.42,643.5,0.4162,Medium
3,785.5,5.51,506.2,5.95,-7.53,1040.5,0.47,Medium
1,480.4,2.36,562.3,2.13,3.86,2704.6,0.1593,Low
1,418.4,-3.54,446.8,3.06,13.67,373.8,0.2081,Low
1,550.0,4.95,433.8,5.6,34.22,2255.3,0.3522,Medium
1,593.1,-1.76,671.4,2.46,-6.15,2470.6,0.1907,Low
2,341.0,-5.35,428.1,1.88,-4.61,1861.1,0.2307,Low
2,424.1,-3.04,511.8,5.34,50.64,130.6,0.4756,Medium
3,1039.2,8.69,678.5,2.6,22.43,198.5,0.4187,Medium
1,505.5,-6.4,555.9,3.32,56.55,152.1,0.3108,Low
1,304.6,-5.15,580.8,5.26,11.58,136.3,0.2811,Low
2,893.5,0.8,332.2,2.69,41.3,1432.6,0.3699,Medium
1,449.8,2.14,386.7,5.82,51.78,190.4,0.3884,Medium
3,250.0,0.85,646.1,1.71,11.33,6176.2,0.2752,Low
2,389.6,-4.58,520.5,6.59,3.42,911.3,0.3958,Medium
2,424.0,1.39,318.2,4.34,15.14,417.2,0.3245,Low
2,1164.0,10.5,462.7,5.68,25.53,319.0,0.485,Medium
1,513.0,-3.35,453.7,5.7,16.8,225.5,0.3221,Low
1,349.8,-1.34,524.1,7.62,16.13,159.1,0.3711,Medium
1,394.8,2.34,746.2,7.62,11.22,1730.4,0.359,Medium
1,279.6,-15.14,694.1,3.09,59.26,278.5,0.325,Low
1,332.0,5.2,375.7,6.16,24.11,5200.3,0.3279,Low
1,873.7,-1.1,550.6,5.32,15.05,1680.5,0.3362,Medium
1,765.8,-1.26,608.4,6.74,55.18,1244.3,0.4877,Medium
1,594.5,-10.17,557.9,1.4,-6.58,192.8,0.1779,Low
1,677.0,15.0,414.4,1.81,-17.22,149.3,0.1842,Low
1,470.1,-6.9,525.3,3.22,22.0,350.6,0.2444,Low
1,400.3,0.01,285.9,8.29,3.13,1581.1,0.3613,Medium
1,437.1,0.26,290.4,6.3,11.3,377.1,0.3156,Low
3,381.2,0.75,812.8,6.16,16.95,2568.1,0.4688,Medium
2,924.4,-7.59,413.8,6.45,13.04,456.0,0.4831,Medium
2,305.1,1.0,474.8,6.86,15.1,1685.9,0.4062,Medium
1,376.7,-1.78,681.5,0.39,-18.54,178.8,0.1066,Low
1,472.4,0.57,337.9,2.35,62.04,248.1,0.2406,Low
2,844.0,-1.34,521.0,6.4,37.96,240.1,0.5266,Medium
2,350.8,-1.47,526.3,5.75,24.82,1449.5,0.4045,Medium
1,314.6,2.33,250.0,7.45,6.96,315.9,0.334,Medium
1,586.4,14.54,352.8,1.58,3.46,711.9,0.1498,Low
1,1530.2,-5.13,389.8,5.24,43.41,860.4,0.4922,Medium
1,719.8,1.88,616.4,3.83,-2.0,1244.2,0.2371,Low
1,422.4,-3.52,250.0,3.72,17.15,253.9,0.2349,Low
1,619.6,2.29,431.7,6.48,-40.16,1977.4,0.4126,Medium
2,532.5,-1.38,666.8,1.71,0.05,4646.1,0.2211,Low
2,341.2,-12.71,367.0,5.57,49.13,506.1,0.5145,Medium
1,1287.4,-4.37,719.6,8.52,46.54,239.7,0.6283,Medium
3,510.6,-1.14,608.5,6.51,-39.15,1024.3,0.5868,Medium
1,666.8,0.85,323.2,6.53,20.8,2602.9,0.3713,Medium
1,462.8,-6.8,699.4,1.02,59.87,719.5,0.2062,Low
2,471.3,-9.34,656.0,2.22,21.09,432.0,0.3325,Medium
3,2167.2,-2.77,511.9,4.53,4.48,1611.8,0.5647,Medium
1,611.6,-2.01,492.4,7.77,17.55,623.3,0.4098,Medium
3,479.3,-9.92,522.1,2.5,37.68,324.6,0.4915,Medium
1,460.8,-14.23,320.2,3.0,5.87,220.9,0.2141,Low
2,528.5,-4.32,493.9,1.22,51.48,294.3,0.3054,Low
3,921.9,-4.65,561.3,4.56,-39.65,379.1,0.591,Medium
1,380.2,-4.79,623.6,5.95,38.05,2847.3,0.375,Medium
2,302.2,-4.12,551.4,6.96,-1.5,3223.0,0.393,Medium
1,1266.6,-8.67,494.2,6.2,4.33,774.3,0.3976,Medium
2,762.1,6.94,421.2,6.67,54.58,1354.9,0.5727,Medium
1,250.0,-0.77,250.0,7.89,0.4,2798.0,0.3272,Low
2,1411.4,-1.12,457.2,6.1,40.68,1244.0,0.5894,Medium
1,357.1,-3.42,627.5,1.61,13.02,273.9,0.1507,Low
1,381.4,8.44,499.6,6.12,57.81,225.5,0.4067,Medium
1,851.3,-13.38,250.0,4.34,53.87,443.2,0.3995,Medium
2,348.2,-7.47,666.4,1.82,16.41,2677.2,0.2806,Low
1,606.0,1.32,460.4,8.76,50.88,141.1,0.5448,Medium
1,1486.9,-9.96,569.1,2.67,11.02,3426.3,0.32,Low
3,771.7,5.41,747.7,1.82,31.15,1534.1,0.3804,Medium
1,263.9,-4.65,405.9,2.51,-36.87,1128.0,0.2026,Low
1,885.2,-13.09,616.8,6.44,56.66,1709.2,0.5462,Medium
1,770.3,1.24,666.1,1.41,39.78,1202.1,0.2071,Low
1,722.7,-7.4,495.9,5.73,-18.92,309.9,0.363,Medium
2,1397.9,-0.76,433.6,0.98,52.87,3067.9,0.3854,Medium
1,350.0,-0.36,477.8,2.47,4.97,230.0,0.1606,Low
2,472.0,-1.19,507.8,2.39,33.27,1019.1,0.2973,Low
1,450.8,-11.11,478.2,2.82,22.61,201.5,0.2375,Low
1,407.7,0.49,484.6,7.12,32.73,280.6,0.3961,Medium
2,1196.6,-3.71,630.2,4.8,-2.77,2874.2,0.4085,Medium
3,545.3,0.12,453.2,1.9,45.81,1027.4,0.3908,Medium
1,250.0,-1.23,701.0,7.13,61.49,1750.9,0.4536,Medium
2,832.9,1.45,407.9,2.01,11.97,885.4,0.2737,Low
1,474.1,0.26,415.7,1.55,58.75,1143.4,0.1978,Low
2,1064.0,0.08,613.5,8.36,16.21,9179.7,0.5454,Medium
1,250.0,-6.92,454.9,3.32,61.33,247.3,0.2807,Low
2,1345.9,-1.89,505.6,8.74,50.75,271.3,0.7468,High
1,1090.8,5.53,462.1,5.85,25.43,1127.7,0.4032,Medium
2,762.8,-15.99,566.7,4.87,-27.53,229.5,0.5236,Medium
2,715.8,-20.02,383.4,0.7,52.4,266.8,0.3862,Medium
1,433.2,-0.93,536.7,2.68,60.7,604.5,0.2537,Low
2,714.2,5.69,316.3,8.18,-7.57,626.0,0.4712,Medium
1,1532.4,-7.58,565.3,4.29,36.89,976.6,0.447,Medium
1,1835.0,-0.15,272.7,3.81,53.58,489.0,0.4798,Medium
1,418.7,-1.4,354.9,2.02,49.51,1753.0,0.2058,Low
1,617.0,-1.32,443.6,2.5,32.42,126.1,0.2295,Low
2,343.6,-3.4,483.3,4.66,22.44,623.6,0.3646,Medium
2,400.5,14.59,473.1,6.35,31.62,1065.9,0.444,Medium
2,795.0,-4.2,587.8,6.69,5.64,1156.1,0.4459,Medium
1,341.1,-4.36,522.4,8.05,36.88,243.9,0.4537,Medium
2,680.4,-1.86,318.6,8.13,16.23,2380.1,0.5035,Medium
1,318.2,-0.43,668.3,2.29,52.97,164.4,0.2082,Low
2,250.0,-1.24,712.6,4.4,25.37,2705.9,0.3418,Medium
2,563.7,0.55,559.8,1.7,54.16,265.8,0.3073,Low
3,580.3,0.72,337.6,6.65,43.6,218.4,0.6036,Medium
1,277.8,-7.44,678.2,8.67,9.53,491.7,0.4078,Medium
2,459.4,0.99,510.0,7.95,5.1,134.0,0.4298,Medium
1,479.0,-9.98,387.8,2.45,61.71,343.0,0.2752,Low
1,586.2,-18.95,529.6,1.88,48.09,267.2,0.2854,Low
2,1533.7,-3.52,463.8,3.61,-1.72,316.8,0.3896,Medium
1,435.5,-7.72,641.4,6.37,2.3,699.0,0.3223,Low
1,280.6,6.01,443.3,1.31,8.57,1089.6,0.1159,Low
2,317.8,-3.93,626.1,6.29,5.11,336.3,0.3845,Medium
1,487.9,0.53,481.9,1.41,6.51,527.3,0.1377,Low
2,358.3,-1.52,644.6,8.53,46.3,327.1,0.5931,Medium
1,836.2,1.54,599.1,1.39,60.12,1128.7,0.2408,Low
1,621.6,-0.9,491.7,6.55,-16.98,3435.9,0.3602,Medium
2,375.7,-8.77,585.4,4.22,-0.69,500.5,0.3343,Medium
1,417.7,5.36,370.2,1.6,8.74,1088.2,0.1402,Low
1,890.3,5.03,643.8,5.18,34.46,406.7,0.3749,Medium
1,870.7,-3.55,682.0,1.78,25.21,1466.5,0.2292,Low
1,563.3,-0.65,619.4,5.98,8.15,272.1,0.3113,Low
3,1461.9,2.96,504.7,2.89,39.2,439.7,0.5305,Medium
2,904.5,-3.67,317.9,6.15,11.64,118.3,0.4438,Medium
1,462.6,-1.28,408.9,1.74,39.75,3376.9,0.1878,Low
1,342.5,-1.0,413.2,6.27,54.63,171.8,0.4047,Medium
2,344.7,1.84,566.6,6.71,9.02,229.0,0.3873,Medium
2,359.2,4.53,445.8,1.9,29.43,3750.6,0.2499,Low
1,1278.7,-1.13,322.6,3.52,51.72,1426.1,0.3906,Medium
1,692.7,-2.3,515.2,2.69,55.18,285.1,0.2864,Low
2,1365.1,-4.23,429.0,3.2,-37.55,6099.7,0.4637,Medium
2,285.1,-6.61,515.8,6.03,61.98,143.1,0.5492,Medium
2,632.1,0.72,449.6,8.45,53.25,158.8,0.6354,Medium
1,1010.9,0.57,288.5,5.99,-8.21,850.6,0.3539,Medium
1,250.0,4.37,470.7,1.98,48.06,192.4,0.1772,Low
1,454.2,2.1,464.4,1.03,4.99,191.6,0.12,Low
1,1249.0,-1.18,726.0,6.58,51.61,534.4,0.5343,Medium
2,317.4,0.66,480.1,5.71,63.63,4500.5,0.4908,Medium
1,565.4,7.19,568.3,5.92,55.36,185.0,0.4164,Medium
2,315.0,-12.13,498.8,3.55,63.29,1615.3,0.4722,Medium
2,541.9,-2.46,535.4,6.48,12.7,334.5,0.424,Medium
2,930.5,3.11,565.6,6.78,7.45,280.2,0.4425,Medium
2,400.9,3.48,300.3,0.5,-49.79,139.3,0.2229,Low
3,394.9,-1.09,371.1,0.86,51.3,457.7,0.3435,Medium
1,388.5,2.47,436.6,1.56,24.77,273.3,0.1519,Low
3,834.1,-2.42,631.8,2.96,26.74,455.3,0.4506,Medium
2,1263.1,8.05,409.0,6.02,37.06,674.5,0.5485,Medium
1,303.7,-2.41,459.5,5.86,-18.73,222.2,0.3081,Low
1,433.8,7.79,520.9,2.29,38.01,2323.1,0.2028,Low
1,673.3,-11.51,593.4,3.08,18.64,167.3,0.2734,Low
2,603.9,-0.63,530.3,7.62,17.53,314.1,0.4778,Medium
1,1019.0,6.17,608.1,0.88,4.88,1010.7,0.1688,Low
1,644.2,7.56,617.3,5.96,-14.77,215.5,0.3325,Medium
2,454.2,-5.47,537.8,5.7,40.07,151.5,0.4847,Medium
1,679.7,1.73,355.5,5.23,40.3,499.5,0.3653,Medium
3,2341.9,-0.22,499.2,2.66,-7.33,212.5,0.5077,Medium
1,740.3,-0.26,527.1,2.82,-11.65,356.2,0.2211,Low
1,508.6,-11.61,470.9,3.48,30.81,2427.7,0.2858,Low
1,418.4,-0.77,250.0,3.07,29.76,243.5,0.224,Low
1,463.2,-1.73,595.2,5.05,9.52,238.2,0.2748,Low
1,762.8,-0.04,480.3,6.01,57.61,768.7,0.4528,Medium
1,431.7,-3.24,511.1,6.99,15.3,107.8,0.3595,Medium
1,598.9,1.67,392.7,1.39,25.22,125.4,0.169,Low
2,745.5,0.22,329.1,6.65,0.89,567.2,0.3991,Medium
3,512.5,-5.89,768.4,0.74,17.05,932.5,0.3548,Medium
1,608.3,-0.93,738.4,5.11,53.24,354.2,0.3837,Medium
1,506.2,-4.49,495.7,7.3,55.69,885.0,0.4919,Medium
1,712.5,-1.98,695.4,4.36,-11.51,178.9,0.2808,Low
2,558.6,-2.39,631.3,7.35,39.19,304.9,0.5484,Medium
2,1125.1,4.35,569.8,5.32,-43.64,388.0,0.522,Medium
3,377.8,-2.63,427.9,1.33,-20.85,410.3,0.313,Low
1,599.4,-7.24,589.7,1.83,54.49,417.1,0.2536,Low
1,673.9,-0.1,457.1,8.02,-2.82,170.2,0.3771,Medium
1,250.0,-8.11,428.6,1.12,57.14,137.6,0.17,Low
1,508.3,-0.09,447.3,1.33,60.37,294.1,0.1937,Low
2,359.1,-1.25,326.7,2.96,13.78,2781.0,0.2683,Low
1,281.5,2.63,389.0,7.46,-6.64,761.1,0.3304,Medium
1,1757.2,-0.24,300.7,5.33,20.35,7243.3,0.4414,Medium
2,552.7,-13.81,628.4,5.69,58.92,1417.6,0.6373,Medium
3,699.2,-12.91,730.6,2.45,5.79,7392.3,0.4814,Medium
1,605.0,-0.13,483.6,1.94,2.81,326.0,0.1634,Low
2,397.5,-6.31,374.5,3.83,11.63,4993.0,0.321,Low
1,434.0,1.26,460.0,2.37,40.88,372.0,0.2097,Low
2,719.1,2.43,529.8,2.71,16.52,193.9,0.2972,Low
2,1071.4,-5.01,478.1,7.2,61.04,642.2,0.6973,High
